propertyCode,developer,propertyName,state,area,propertyType,numberOfBedroom,numberOfWashroom,quantityAvailableUnits,propertyPrice,propertySize,propertyFeatures,status,deliveryDate,titleType,buildingPlanApproval,photo1,photo2,photo3,photo4,photo5,photo6,photo7,photo8,photo9,photo10
PTY00044,Egletek Home Builders,The Signature Laurels,Lagos,Abraham Adesanya,Apartment,2,2,10,43000000,,"Estate lounge, home office, gym, 24 hrs security",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1PtyZtiFGVRGeMehBsbevKl3XN2jV7Duf/view?usp=sharing,https://drive.google.com/file/d/1-LjeGBo5C532t0sG3SPqHk9DmhfXhVZ9/view?usp=sharing,https://drive.google.com/file/d/1FQA-i01J2nqcUm4f-_nB2JL7eaHgZbgZ/view?usp=sharing,https://drive.google.com/file/d/1osm2tWVM4l7cPeIV2if2AdIlKD-baVZh/view?usp=sharing,https://drive.google.com/file/d/1-LjeGBo5C532t0sG3SPqHk9DmhfXhVZ9/view?usp=sharing,,,,,
PTY00047,Egletek Home Builders,Signature Apartments,Lagos,Abijo GRA,Apartment,2,2,8,40000000,,"24hrs Power Supply, Alternative Solar Power, Green Areas, Hardwood flooring, Marble Tiles, CCTV, Kitted Open Kitchen, Massive Living Rooms, Walk-In Closet, Box Room",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1zMM4aAe4mVgOhvJzZkku6aWUSqPW4Z0L/view?usp=sharing,https://drive.google.com/file/d/168VqUIgT6wkC5Oz3qFFiseNrn3hH6Ktr/view?usp=sharing,https://drive.google.com/file/d/1Qu7COR2M3W6NKu79_RDMzqFSHhRSWsrh/view?usp=sharing,https://drive.google.com/file/d/1OtR7BnkkwOSGZjZzbIHJxowPpqfzIIpw/view?usp=sharing,https://drive.google.com/file/d/168VqUIgT6wkC5Oz3qFFiseNrn3hH6Ktr/view?usp=sharing,,,,,
PTY00052,Tim Homes,Opal Apartment,Lagos,Yaba,Apartment,1,1,9,11000000,,"Fitness centre, 24hrs security, visitors lounge, 24 hours power supply, Fiber optic internet, CCTV, Modern fittings",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1_h5OlHpUG5PIapElpnfsud1T0pZA340b/view?usp=sharing,https://drive.google.com/file/d/1BeqJ5h3zRtzym09QOLMV1c6Od9TPfd3c/view?usp=sharing,https://drive.google.com/file/d/16aGILUkgwczZNGR97YcnQRFudgUMxS0D/view?usp=sharing,https://drive.google.com/file/d/1m77DQru8tEjmdG4sxFjckSS2qVW-wgJV/view?usp=sharing,https://drive.google.com/file/d/1MLs6_LuAWnfnK29XorL_uETYTUhB8Xhv/view?usp=sharing,,,,,
PTY00053,Horizin Estates,Horizon Ville 3,Lagos,Ikate Elegushi,Apartment,2,2,50,34187000,,"24hrs security, play area, dedicated car parks, central sewage treatment,",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1dsuut1I4rduzXbweZmqdPPV0P-qWHM1i/view?usp=sharing,https://drive.google.com/file/d/13I3ctZ2Ff91IIAY_MpgD-6bvc79WLMnK/view?usp=sharing,https://drive.google.com/file/d/1KQZkTniSF-YFW3wEeXRLr4wVk2LIQXr7/view?usp=sharing,https://drive.google.com/file/d/1ruTQmJ_HH2NVUZlkC-pirzUqXCu2UKfz/view?usp=sharing,https://drive.google.com/file/d/1_i48iqEcFXNrl3DuVRxQJj_7KAyVvze0/view?usp=sharing,https://drive.google.com/file/d/1-ucM-SBs0eD6jjUDgeJwgE7L69bcZafQ/view?usp=sharing,,,,
PTY00058,IMHDC - Industrial Mass Housing Development Company,Affordale Homes,Lagos,Ibeshe,Terrace,3,3,50,25000000,,"Open play areas, family friendly environment, 24hrs security, Wide road network, underground drainage, central power system, green areas.",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1LLrTKZwC8IlJHJRP9tMioJyzTAFE7aAO/view?usp=sharing,https://drive.google.com/file/d/1MNOPo-hG3br3KRFNJaCwftK_X_R1b1wW/view?usp=sharing,https://drive.google.com/file/d/10gqwYdWWFX6SFYP4YqY79lm9k6MgLX9K/view?usp=sharing,https://drive.google.com/file/d/14h3ZtMPtdQIjTtqP3-uZFfMSIkkevdmx/view?usp=sharing,https://drive.google.com/file/d/1MNOPo-hG3br3KRFNJaCwftK_X_R1b1wW/view?usp=sharing,,,,,
PTY00063,Nedcomoaks,Victoria Crest V Estate,Lagos,VGC,Terrace,3,3,87,75000000,,"24hrs power, football pitch, kids play area, fitness centre, smart locks, swimming pool, 24hrs security, biogas waste management system, timely delivery",Off Plan,,Yes,Yes,https://drive.google.com/file/d/103FbfevqeLsRTwTT-_6uoysSVe7SfGa2/view?usp=sharing,https://drive.google.com/file/d/1KLVvYfkT4RnKwlBEMMIo-UT2rJ78_fgT/view?usp=sharing,https://drive.google.com/file/d/1CU3QA9f98N3HD4mk0a8qvWR5HM3ufyeB/view?usp=sharing,https://drive.google.com/file/d/1UPqElMcYQtRaKK0gOIRuw8ZKRU63x-02/view?usp=sharing,https://drive.google.com/file/d/1NXnT5pNMPcxpyTVZkD3tlLQlZ6svoazZ/view?usp=sharing,,,,,
PTY00064,Nedcomoaks,Victoria Nest 3,Lagos,VGC,Semi-Detached + BQ,4,4,25,118000000,,"24hrs power, football pitch, kids play area, fitness centre, smart locks, swimming pool, 24hrs security, biogas waste management system, timely delivery",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1e8wjS29DnmxGC4tBi5dtJju1V_dG6H-Q/view?usp=sharing,https://drive.google.com/file/d/1wMNYIvhaoEx31IAk5JGT7Ie98dGQgaN5/view?usp=sharing,https://drive.google.com/file/d/10bED_unN4zs9dkGzYUsNcx8aO8JpB-gr/view?usp=sharing,https://drive.google.com/file/d/1gd2optqQaFxMaf8R89r-5kOdKTBsTlTI/view?usp=sharing,https://drive.google.com/file/d/1K5eMTVj3cdL0vVqHsQafqHNg2ZR8R1lO/view?usp=sharing,https://drive.google.com/file/d/1koVOX27_QT66wgNXaZSmy9kQDo0Gw0pl/view?usp=sharing,https://drive.google.com/file/d/1quuNrSe-zLtpdq0EYxJteFshorjgdW2G/view?usp=sharing,,,
PTY00065,Nedcomoaks,Victoria Crest IV (Waterviews),Lagos,Orchid road,Apartment,2,2,106,42000000,,"24hrs power, football pitch, kids play area, fitness centre, smart locks, swimming pool, 24hrs security, biogas waste management system, timely delivery",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1-aPCAee8jiOllQ53_hCjv-Ab6p70kYUR/view?usp=sharing,https://drive.google.com/file/d/1z31NRMsEr1MSMMYGjSg5k4VlP9A6bNXj/view?usp=sharing,https://drive.google.com/file/d/1UycvY7IENoi7HH7PrFDmqLFC75ivnxMO/view?usp=sharing,https://drive.google.com/file/d/1QV_u26C9Yku3grhCfwJkyxfHR_-n4n5C/view?usp=sharing,https://drive.google.com/file/d/1JW-bX8TFL34x8tB4TSAN45PlCbgxR6_-/view?usp=sharing,,,,,
PTY00066,Nedcomoaks,Victoria Crest IV (Waterviews),Lagos,Orchid road,Terrace,2,2,,50000000,,"24hrs power, football pitch, kids play area, fitness centre, smart locks, swimming pool, 24hrs security, biogas waste management system, timely delivery",Off Plan,,Yes,Yes,https://drive.google.com/file/d/15kriZVVXJtrKwiGWuPMV-L-40x4__zz2/view?usp=sharing,https://drive.google.com/file/d/12FME_QgmIrZgaHUkPPX8jEIu-E6rd03j/view?usp=sharing,https://drive.google.com/file/d/1kNrkicZNik-DSrGD0SSl3fjsm1km3v9n/view?usp=sharing,https://drive.google.com/file/d/1QulG8ezs85GBGuAyZTwX0sRCeyQotxEr/view?usp=sharing,https://drive.google.com/file/d/1caWeCQMKDlXndQd8GzjXub2ZwxrQMjav/view?usp=sharing,https://drive.google.com/file/d/18JWl1XVvr4ohuGAiFSPsdxsY9OXOyAfp/view?usp=sharing,https://drive.google.com/file/d/1xbf5FFlYISdZ2ESQLy1IfXxlh_XjSihI/view?usp=sharing,,,
PTY00069,Nedcomoaks,Victoria Crest IV (Waterviews),Lagos,Orchid road,Terrace,4,4,,68000000,,"24hrs power, football pitch, kids play area, fitness centre, smart locks, swimming pool, 24hrs security, biogas waste management system, timely delivery",Off Plan,,Yes,Yes,https://drive.google.com/file/d/16kQqoa_g0vDVfAbB2ZGWExFLjVJHmTpM/view?usp=sharing,https://drive.google.com/file/d/1Bl_srT4nlnrcgtLx239h8EDL-Q60niDb/view?usp=sharing,https://drive.google.com/file/d/19VHX8D0q2nGHHZ4qMYogQ8DbXI-qDNcj/view?usp=sharing,https://drive.google.com/file/d/13VKA9FttbwHEqsbttai4WO0jqIv5roqD/view?usp=sharing,https://drive.google.com/file/d/1n6ohAFdd1ypdGkTE7m0fQv6JuOB9BNZ2/view?usp=sharing,,,,,
PTY00073,Nedcomoaks,Citadel View Estate Phase I,Lagos,LBS Ajah,Semi-Detached + BQ,4,4,,85000000,,"24hrs power, football pitch, kids play area, fitness centre, smart locks, swimming pool, 24hrs security, biogas waste management system, timely delivery",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1jpV4C69G-nrnVoHcOWGcN_jq-Jz7CaI-/view?usp=sharing,https://drive.google.com/file/d/1tI8M8cqFAJcXsS2rhozrSKf_XPyPT0q5/view?usp=sharing,https://drive.google.com/file/d/1Rea2iP5peif44177nGCPUotWVI3k6sdF/view?usp=sharing,https://drive.google.com/file/d/1gwGLCUTqmZfo-A7c7MqbPqZKamWhMgqE/view?usp=sharing,https://drive.google.com/file/d/1mYK7PJgw-xg6JZ72JlNOuUjD55OnOkc_/view?usp=sharing,https://drive.google.com/file/d/1I_nDgPi1E1NP4FDcewKB3RNI6HOWo3Xp/view?usp=sharing,https://drive.google.com/file/d/1a2-tmzEGInSLnwyk7MyZ3W0nyltl6OWR/view?usp=sharing,https://drive.google.com/file/d/1Usm6VkQyvG3unSW5DqOzTmP_PPErkGas/view?usp=sharing,https://drive.google.com/file/d/1H6u8Mo0PePtuN809UGm9cwAR3zIln7bF/view?usp=sharing,https://drive.google.com/file/d/1PjE6FLUQyOldjp-qT_OiOqPyoe_QdJVx/view?usp=sharing
PTY00075,Nedcomoaks,Citadel View Estate Phase II,Lagos,LBS Ajah,Apartment,1,1,135,38000000,,"24hrs power, football pitch, kids play area, fitness centre, smart locks, swimming pool, 24hrs security, biogas waste management system, timely delivery",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1uyXGKDMc2SJhbQ0TTg21n-lMFMSj9U-y/view?usp=sharing,https://drive.google.com/file/d/1GhCferzitA1EYvAIwTfbEY5_HON1_9Hs/view?usp=sharing,https://drive.google.com/file/d/16mHA4IBpFVRCTi4cglOS9ELFJrBXnmlh/view?usp=sharing,https://drive.google.com/file/d/1BBAI_H5pE0aYUSircpCOvuBwXk5leCWR/view?usp=sharing,https://drive.google.com/file/d/1OumIFSdQOtjXgOe0BHHFeTZvpix8vHmK/view?usp=sharing,https://drive.google.com/file/d/1Hn9zZ-TwGFTDRKKGyu_Fqfy4tR0Lwp5p/view?usp=sharing,https://drive.google.com/file/d/1Qhd-8oIEzn16uWf7une06xpyuzDl7dJJ/view?usp=sharing,https://drive.google.com/file/d/1hyGZarrBIVPe5rPCvoFeBb1tU-AHEo3S/view?usp=sharing,https://drive.google.com/file/d/1Qhd-8oIEzn16uWf7une06xpyuzDl7dJJ/view?usp=sharing,
PTY00076,Nedcomoaks,Citadel View Estate Phase II,Lagos,LBS Ajah,Apartment,2,2,,43500000,,"24hrs power, football pitch, kids play area, fitness centre, smart locks, swimming pool, 24hrs security, biogas waste management system, timely delivery",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1JJhUHaK8Wymo5wAseUJ5CD2lymArO4Bg/view?usp=sharing,https://drive.google.com/file/d/1PNWHPb3Si6ZleZ2ne7yFwjE65vTiuNwW/view?usp=sharing,https://drive.google.com/file/d/1aVe1sJenJzoJdfOJBg0yEXiu-FbzFQVk/view?usp=sharing,https://drive.google.com/file/d/1tJrzY6XrWuLKscxzAMPmtORrAukORhVO/view?usp=sharing,https://drive.google.com/file/d/1Te35rDweh7gD0qOnAo_4Wfz0fMadWcC7/view?usp=sharing,https://drive.google.com/file/d/1Qii_AzvWyOjKR4eMkov44-m0HSO28Ahm/view?usp=sharing,https://drive.google.com/file/d/1qH3nZHXkyRgoXy55Ah9F9Wlc9pVCbw6Q/view?usp=sharing,,https://drive.google.com/file/d/1-vOa0ZuZpUBSqD3aDnp3F1WQ0gjjQTpU/view?usp=sharing,
PTY00077,Nedcomoaks,Citadel View Estate Phase II,Lagos,LBS Ajah,Terrace Duplex + BQ,2,2,,53500000,,"24hrs power, football pitch, kids play area, fitness centre, smart locks, swimming pool, 24hrs security, biogas waste management system, timely delivery",Off Plan,,Yes,Yes,https://drive.google.com/file/d/13pGfGHOB8DSQK45DUnUUdHeE-172ZFtK/view?usp=sharing,https://drive.google.com/file/d/1vE7tpW-1AX_4pncx6bOtJv_BazWWv9N9/view?usp=sharing,https://drive.google.com/file/d/10a5r9ucgtAJ7Rd70Lx7djRP7ovVzvjvK/view?usp=sharing,https://drive.google.com/file/d/1WrJFcE75dInOwaE6thuOI2xuEM8JDFdC/view?usp=sharing,https://drive.google.com/file/d/1RMQrsHap1NRu-MqJWJYqLn9XgGc2qT86/view?usp=sharing,https://drive.google.com/file/d/1eMdOarCrsN3nc_c2n7DjRReAV7zRNeLC/view?usp=sharing,https://drive.google.com/file/d/1m0V8eGZI0bMmvb4voPAfb_HwJagLt1cv/view?usp=sharing,https://drive.google.com/file/d/1Jto2a6GO66QhFV7QZD2I0emhVnEjpFjP/view?usp=sharing,,
PTY00078,Nedcomoaks,Citadel View Estate Phase II,Lagos,LBS Ajah,Terrace,3,3,,59900000,,"24hrs power, football pitch, kids play area, fitness centre, smart locks, swimming pool, 24hrs security, biogas waste management system, timely delivery",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1Jto2a6GO66QhFV7QZD2I0emhVnEjpFjP/view?usp=sharing,https://drive.google.com/file/d/16FFvuugxy4ZSoFiPc2ZFeq2Sf5KtSitV/view?usp=sharing,https://drive.google.com/file/d/1yCbgW7cP6JNynWv360PKd2uibFgYnvsV/view?usp=sharing,https://drive.google.com/file/d/1ra5G10Jc6dQqLl28YEaouT58SAkS6Ikx/view?usp=sharing,https://drive.google.com/file/d/1WW8wB1clcQZFafrOJihWUzIPEyaFh034/view?usp=sharing,,,,,
PTY00087,Eximia Reality,Fiona Lawton Apartment,Lagos,Lekki,Studio Apartment,1,1,25,25000000,,"24hrs power, kids play area, fitness centre, smart locks, 24hrs security, Central waste management system",Off Plan,,Yes,Yes,https://drive.google.com/file/d/1Dm_VeOTluuSb2bAlC2F3oIvsgWG21Lxy/view?usp=sharing,https://drive.google.com/file/d/1CE8ywpioh-G-_AHUgXBBEcz5mQyocqJo/view?usp=sharing,https://drive.google.com/file/d/1zQFMRTgM4-OtnaY5KIMCRadWp7UQB6rz/view?usp=sharing,https://drive.google.com/file/d/17jlPBgU__72gt87eNVM5hpYzOm2s_2Uh/view?usp=sharing,https://drive.google.com/file/d/1dFUbix0JTvrOcI0-MbSMdeSV4WQ71G00/view?usp=sharing,,,,,
PTY00094,Megamound,Lekki County,Lagos,Ikota,Apartment,2,2,10,45000000,,"Children's playground, gym, 24hrs Security",Completed,,,,https://drive.google.com/file/d/1KbFfNvBnOnVS8Y4jXLf39JmKujR2_isy/view?usp=sharing,https://drive.google.com/file/d/1NcPjjW9Fg2p-4GDIbC3MoISrWNd7WdLB/view?usp=sharing,https://drive.google.com/file/d/1D3bKaRy7tI6tSI1Li34FAFwaQpznzP3t/view?usp=sharing,https://drive.google.com/file/d/1gudvjvax0yDNDUXG3DmQR7V5dQo9o6oS/view?usp=sharing,https://drive.google.com/file/d/1_bXObdJml4pTrcALbQinS5ogxcgejZ5Z/view?usp=sharing,https://drive.google.com/file/d/1AGfPTzyH8V4oztYtmwWht7psJga2_Ak7/view?usp=sharing,,,,
PTY00096,Megamound,Lekki County,Lagos,Ikota,Terrace,3,3,1,90000000,,"Children's playground, gym, 24hrs Security",completed,,,,https://drive.google.com/file/d/1H73Lg89A6fYiFoa43LbyyYPFzOEPbcjj/view?usp=sharing,https://drive.google.com/file/d/1asBiwb2sTBsaH-9zKUTEs8UBz5E-DAMd/view?usp=sharing,https://drive.google.com/file/d/1QvMLFFv-AlWUVRLQll9BZuI26JJYTeoC/view?usp=sharing,https://drive.google.com/file/d/1w6oA5ramj36_aCpnzxsBBpi1AUjDGrgm/view?usp=sharing,https://drive.google.com/file/d/1MLicm3hvHbcwF9RYHLMaF8e7sWcDSqbz/view?usp=sharing,,,,,
PTY00097,MegaMound,Lekki County,Lagos,Ikota,Semi-Detached,4,4,4,120000000,,"Children's playground, gym, 24hrs Security",completed,,,,https://drive.google.com/file/d/1zCWOHwtlEKVGXnf6FwQfO0erF2mhFcEI/view?usp=sharing,https://drive.google.com/file/d/1DdSljRIjOpp7pPQygYsvDEpXK3xDUFe9/view?usp=sharing,https://drive.google.com/file/d/11gEfZy658kyMzxtMW4xxj7TWXk-lAh5k/view?usp=sharing,https://drive.google.com/file/d/1bJem28rs4G8_B4MCNToSATVxPDpqzdZS/view?usp=sharing,https://drive.google.com/file/d/1IZY4mwtVntGTt5FX24WVVSQtfkVTqVCF/view?usp=sharing,,,,,
PTY00098,Megamound,Lekki County,Lagos,IKota,Detached,5,5,1,180000000,,"Swimming pool, Children's playground, gym, 24hrs Security",completed,,,,https://drive.google.com/file/d/1zgsL-0sahzVftQVqn7tZQIgOLuUlmOoh/view?usp=sharing,https://drive.google.com/file/d/196-Wbr_IaGtrp-521Ti1ldJZPfJJqX3i/view?usp=sharing,https://drive.google.com/file/d/1cLuhoAG-wFWMDH1h9hW0Pn4hHoFjgeVp/view?usp=sharing,https://drive.google.com/file/d/1i4RbcbeYwDgpgQmi2KXLn83N1-jEWbxZ/view?usp=sharing,https://drive.google.com/file/d/1NfF8149Os-FPpm4NIVnh69Kg8LeYU8Rt/view?usp=sharing,https://drive.google.com/file/d/1pjBLf70Y2h1ZCOKP7CqqqRMDoEgr9irY/view?usp=sharing,,,,
PTY00099,Megamound,Lekki County,Lagos,Ikota,Detached + BQ,5,5,1,165000000,,"Children's playground, gym, 24hrs Security",completed,,,,https://drive.google.com/file/d/1nJu46mGBLNl-EaB1ei9HJw5t-gc6E1hB/view?usp=sharing,https://drive.google.com/file/d/1-xYyVWIOIunURRHtWzQmOpKe5NZ-xQ6l/view?usp=sharing,https://drive.google.com/file/d/1DvG8MjszWimyVfcxW7cfY6cSpsgpPnMq/view?usp=sharing,https://drive.google.com/file/d/1T47QaFOMIeWxz28cKhBoldkdGlPyYY3g/view?usp=sharing,https://drive.google.com/file/d/1-xYyVWIOIunURRHtWzQmOpKe5NZ-xQ6l/view?usp=sharing,,,,,
